year,fips,pop2020,pop2024,state,stateCode,growthSince2020,name,county,slug,landArea,density,rank,densityMi,areaMi,white%,AdjacentCounties,AdjacentCodes
2024,17083,21494,20991,Illinois,IL,-0.02340188,Jersey County,Jersey County,illinois/jersey-county,370,56.73243243243243,55,56.73243243243243,370,95.83,"""Calhoun County, IL"" 17013 ""Greene County, IL"" 17061 ""Jersey County, IL"" 17083 ""Macoupin County, IL"" 17117 ""Madison County, IL"" 17119 ""St. Charles County, MO"" 29183","17013, 17061, 17083, 17117, 17119, 29183"
2024,17085,22057,21667,Illinois,IL,-0.017681462,Jo Daviess County,Jo Daviess County,illinois/jo-daviess-county,601,36.05158069883528,53,36.05158069883528,601,94.79,"""Carroll County, IL"" 17015 ""Jo Daviess County, IL"" 17085 ""Stephenson County, IL"" 17177 ""Dubuque County, IA"" 19061 ""Jackson County, IA"" 19097 ""Grant County, WI"" 55043 ""Lafayette County, WI"" 55065","17015, 17085, 17177, 19061, 19097, 55043, 55065"
2024,17087,13318,13261,Illinois,IL,-0.004279922,Johnson County,Johnson County,illinois/johnson-county,344,38.549418604651166,77,38.549418604651166,344,82.9,"""Johnson County, IL"" 17087 ""Massac County, IL"" 17127 ""Pope County, IL"" 17151 ""Pulaski County, IL"" 17153 ""Saline County, IL"" 17165 ""Union County, IL"" 17181 ""Williamson County, IL"" 17199","17087, 17127, 17151, 17153, 17165, 17181, 17199"
2024,17089,516181,515825,Illinois,IL,-0.000689681,Kane County,Kane County,illinois/kane-county,519,993.8824662813104,5,993.8824662813104,519,66.07,"""Cook County, IL"" 17031 ""DeKalb County, IL"" 17037 ""DuPage County, IL"" 17043 ""Kane County, IL"" 17089 ""Kendall County, IL"" 17093 ""McHenry County, IL"" 17111","17031, 17037, 17043, 17089, 17093, 17111"
2024,17091,107264,105882,Illinois,IL,-0.012884099,Kankakee County,Kankakee County,illinois/kankakee-county,676,156.6301775147929,18,156.6301775147929,676,75.6,"""Ford County, IL"" 17053 ""Grundy County, IL"" 17063 ""Iroquois County, IL"" 17075 ""Kankakee County, IL"" 17091 ""Livingston County, IL"" 17105 ""Will County, IL"" 17197 ""Lake County, IN"" 18089 ""Newton County, IN"" 18111","17053, 17063, 17075, 17091, 17105, 17197, 18089, 18111"
2024,17093,132355,142458,Illinois,IL,0.07633259,Kendall County,Kendall County,illinois/kendall-county,320,445.18125,14,445.18125,320,73.58,"""DeKalb County, IL"" 17037 ""DuPage County, IL"" 17043 ""Grundy County, IL"" 17063 ""Kane County, IL"" 17089 ""Kendall County, IL"" 17093 ""LaSalle County, IL"" 17099 ""Will County, IL"" 17197","17037, 17043, 17063, 17089, 17093, 17099, 17197"
2024,17095,49790,48202,Illinois,IL,-0.031893955,Knox County,Knox County,illinois/knox-county,716,67.32122905027933,30,67.32122905027933,716,83.67,"""Fulton County, IL"" 17057 ""Henry County, IL"" 17073 ""Knox County, IL"" 17095 ""Mercer County, IL"" 17131 ""Peoria County, IL"" 17143 ""Stark County, IL"" 17175 ""Warren County, IL"" 17187","17057, 17073, 17095, 17131, 17143, 17175, 17187"
2024,17097,713281,707621,Illinois,IL,-0.007935162,Lake County,Lake County,illinois/lake-county,444,1593.740990990991,3,1593.740990990991,444,67.13,"""Cook County, IL"" 17031 ""Lake County, IL"" 17097 ""McHenry County, IL"" 17111 ""Allegan County, MI"" 26005 ""Berrien County, MI"" 26021 ""Van Buren County, MI"" 26159 ""Kenosha County, WI"" 55059","17031, 17097, 17111, 26005, 26021, 26159, 55059"
2024,17099,109410,108437,Illinois,IL,-0.008893154,LaSalle County,LaSalle County,illinois/lasalle-county,1135,95.53920704845817,17,95.53920704845817,1135,88.29,"""Bureau County, IL"" 17011 ""DeKalb County, IL"" 17037 ""Grundy County, IL"" 17063 ""Kendall County, IL"" 17093 ""LaSalle County, IL"" 17099 ""Lee County, IL"" 17103 ""Livingston County, IL"" 17105 ""Marshall County, IL"" 17123 ""Putnam County, IL"" 17155 ""Woodford County, IL"" 17203","17011, 17037, 17063, 17093, 17099, 17103, 17105, 17123, 17155, 17203"
2024,17101,15268,14735,Illinois,IL,-0.034909615,Lawrence County,Lawrence County,illinois/lawrence-county,372,39.61021505376344,72,39.61021505376344,372,86.23,"""Crawford County, IL"" 17033 ""Lawrence County, IL"" 17101 ""Richland County, IL"" 17159 ""Wabash County, IL"" 17185 ""Knox County, IN"" 18083","17033, 17101, 17159, 17185, 18083"
